employee_id	name	dept_cd	job_cd	role_name
8	user8	01020150	99	vice
9	user9	01020199	01	normal
10	user10	01020100	02	normal
11	user11	01020101	03	normal
13	user13	01020150	05	normal
14	user14	01020199	06	normal
15	user15	01020100	07	normal
16	user16	01020101	08	normal
17	user17	01020110	09	normal
26	user26	01020101	99	vice
27	user27	01020110	01	normal
28	user28	01020150	02	normal
29	user29	01020199	03	normal
31	user31	01020101	05	normal
32	user32	01020110	06	normal
33	user33	01020150	07	normal
34	user34	01020199	08	normal
35	user35	01020100	09	normal
44	user44	01020199	99	vice
45	user45	01020100	01	normal
46	user46	01020101	02	normal
47	user47	01020110	03	normal
49	user49	01020199	05	normal
50	user50	01020100	06	normal
51	user51	01020101	07	normal
52	user52	01020110	08	normal
53	user53	01020150	09	normal
62	user62	01020110	99	vice
63	user63	01020150	01	normal
64	user64	01020199	02	normal
65	user65	01020100	03	normal
67	user67	01020110	05	normal
68	user68	01020150	06	normal
69	user69	01020199	07	normal
70	user70	01020100	08	normal
71	user71	01020101	09	normal
80	user80	01020100	99	vice
81	user81	01020101	01	normal
82	user82	01020110	02	normal
83	user83	01020150	03	normal
85	user85	01020100	05	normal
86	user86	01020101	06	normal
87	user87	01020110	07	normal
88	user88	01020150	08	normal
89	user89	01020199	09	normal
98	user98	01020150	99	vice
99	user99	01020199	01	normal
100	user100	01020100	02	normal
101	user101	01020101	03	normal
103	user103	01020150	05	normal
104	user104	01020199	06	normal
105	user105	01020100	07	normal
106	user106	01020101	08	normal
107	user107	01020110	09	normal
116	user116	01020101	99	vice
117	user117	01020110	01	normal
118	user118	01020150	02	normal
119	user119	01020199	03	normal
121	user121	01020101	05	normal
122	user122	01020110	06	normal
123	user123	01020150	07	normal
124	user124	01020199	08	normal
125	user125	01020100	09	normal
134	user134	01020199	99	vice
135	user135	01020100	01	normal
136	user136	01020101	02	normal
137	user137	01020110	03	normal
139	user139	01020199	05	normal
140	user140	01020100	06	normal
141	user141	01020101	07	normal
142	user142	01020110	08	normal
143	user143	01020150	09	normal
152	user152	01020110	99	vice
153	user153	01020150	01	normal
154	user154	01020199	02	normal
155	user155	01020100	03	normal
157	user157	01020110	05	normal
158	user158	01020150	06	normal
159	user159	01020199	07	normal
160	user160	01020100	08	normal
161	user161	01020101	09	normal
170	user170	01020100	99	vice
171	user171	01020101	01	normal
172	user172	01020110	02	normal
173	user173	01020150	03	normal
175	user175	01020100	05	normal
176	user176	01020101	06	normal
177	user177	01020110	07	normal
178	user178	01020150	08	normal
179	user179	01020199	09	normal
188	user188	01020150	99	vice
189	user189	01020199	01	normal
190	user190	01020100	02	normal
191	user191	01020101	03	normal
193	user193	01020150	05	normal
194	user194	01020199	06	normal
195	user195	01020100	07	normal
196	user196	01020101	08	normal
197	user197	01020110	09	normal
206	user206	01020101	99	vice
207	user207	01020110	01	normal
208	user208	01020150	02	normal
209	user209	01020199	03	normal
211	user211	01020101	05	normal
212	user212	01020110	06	normal
213	user213	01020150	07	normal
214	user214	01020199	08	normal
215	user215	01020100	09	normal
224	user224	01020199	99	vice
225	user225	01020100	01	normal
226	user226	01020101	02	normal
227	user227	01020110	03	normal
229	user229	01020199	05	normal
230	user230	01020100	06	normal
231	user231	01020101	07	normal
232	user232	01020110	08	normal
233	user233	01020150	09	normal
242	user242	01020110	99	vice
243	user243	01020150	01	normal
244	user244	01020199	02	normal
245	user245	01020100	03	normal
247	user247	01020110	05	normal
248	user248	01020150	06	normal
249	user249	01020199	07	normal
250	user250	01020100	08	normal
251	user251	01020101	09	normal
260	user260	01020100	99	vice
261	user261	01020101	01	normal
262	user262	01020110	02	normal
263	user263	01020150	03	normal
265	user265	01020100	05	normal
266	user266	01020101	06	normal
267	user267	01020110	07	normal
268	user268	01020150	08	normal
269	user269	01020199	09	normal
278	user278	01020150	99	vice
279	user279	01020199	01	normal
280	user280	01020100	02	normal
281	user281	01020101	03	normal
283	user283	01020150	05	normal
284	user284	01020199	06	normal
285	user285	01020100	07	normal
286	user286	01020101	08	normal
287	user287	01020110	09	normal
296	user296	01020101	99	vice
297	user297	01020110	01	normal
298	user298	01020150	02	normal
299	user299	01020199	03	normal
301	user301	01020101	05	normal
302	user302	01020110	06	normal
303	user303	01020150	07	normal
